leg,index,emit_s,source_start_s,translate_ms,kind,text
gemini,15,17.304,,,caption, ng pagbati
gemini,16,18.398,,,caption, at pagpapakilala.
gemini,17,19.315,,,caption, Pakibuksan
gemini,18,20.424,,,caption, ang inyong mga notebook
gemini,19,21.103,,,caption, sa unang
gemini,20,22.414,,,caption, pahina.
gemini,21,23.061,,,caption, Salamat
gemini,22,24.385,,,caption, sa pakikinig.
gemini,23,25.311,,,caption, Magpapatuloy
gemini,24,26.399,,,caption, tayo sa susunod
gemini,25,27.329,,,caption, na linggo.
gemini,26,28.149,,,caption, Tandaan
gemini,27,29.323,,,caption, na magsalita
gemini,28,30.339,,,caption, nang dahan-dahan at
gemini,29,31.405,,,caption, malinaw. At
gemini,30,32.317,,,caption, makinig nang mabuti
gemini,31,33.318,,,caption, sa isa't isa.
gemini,32,34.419,,,caption, Magsisimula
gemini,33,35.421,,,caption, tayo sa mga
gemini,34,36.328,,,caption, numero 1 hanggang
gemini,35,37.308,,,caption," 10, pagkatapos"
gemini,36,38.385,,,caption, ay lilipat sa mga
gemini,37,39.305,,,caption, araw ng linggo.
gemini,38,40.400,,,caption, Magaling.
gemini,39,41.106,,,caption, Magandang trabaho
gemini,40,42.414,,,caption, sa inyong lahat.
gemini,41,43.416,,,caption, Iyan ang katapusan
gemini,42,44.342,,,caption, ng ating sesyon
gemini,43,45.339,,,caption, sa pagsasanay.
gemini,44,46.433,,,caption, Kamusta
gemini,45,47.325,,,caption, at maligayang pagdating
gemini,46,48.318,,,caption, sa unang pulong
gemini,47,49.336,,,caption, ng ating conversational
gemini,48,50.418,,,caption, Tagalog practice
gemini,49,51.151,,,caption, group.
gemini,50,52.316,,,caption, Ang pangalan
gemini,51,53.403,,,caption, ko ay Maria.
gemini,52,54.363,,,caption, Ano
gemini,53,55.435,,,caption, ang pangalan mo?
gemini,54,56.403,,,caption, Magandang
gemini,55,57.320,,,caption, umaga sa inyong
gemini,56,58.401,,,caption, lahat.
gemini,57,59.085,,,caption, Ngayon ay
gemini,58,60.397,,,caption, mag-eensayo tayo
gemini,59,61.331,,,caption, ng pagbati
gemini,60,62.402,,,caption, at pagpapakilala.
gemini,61,63.386,,,caption, Pakibuksan
gemini,62,64.399,,,caption, ang inyong mga notebook
gemini,63,65.325,,,caption, sa unang
gemini,64,66.316,,,caption, pahina.
gemini,65,67.410,,,caption, Salamat
gemini,66,68.320,,,caption, sa pakikinig.
gemini,67,69.558,,,caption, Magpapatuloy
gemini,68,70.660,,,caption, tayo sa susunod
gemini,69,71.565,,,caption, na linggo.
gemini,70,72.572,,,caption, Tandaan
gemini,71,73.637,,,caption, na magsalita
gemini,72,74.653,,,caption, nang dahan-dahan
gemini,73,75.602,,,caption, at malinaw at
gemini,74,76.614,,,caption, makinig nang mabuti
gemini,75,77.664,,,caption, sa isa't isa.
gemini,76,78.900,,,caption, Magsisimula
gemini,77,79.916,,,caption, tayo sa mga
gemini,78,80.914,,,caption, numero 1 hanggang
gemini,79,81.916,,,caption," 10, pagkatapos"
gemini,80,82.623,,,caption, ay lilipat sa
gemini,81,83.888,,,caption, mga araw ng linggo.
gemini,82,84.558,,,caption, Magaling.
gemini,83,85.685,,,caption, Magandang trabaho
gemini,84,86.803,,,caption, sa inyong lahat.
gemini,85,87.919,,,caption, Iyan ang katapusan
gemini,86,88.824,,,caption, ng ating sesyon

summary,leg,audio_s,first_caption_s,committed,updates,cadence_per120s,median_translate_ms,tail_after_feed_s,repeated_bigrams,duplicates,unterminated,proc_cpu_pct,worker_cpu_pct,peak_ram_mb,up_mb,down_mb,cost_usd,cost_usd_per_hour,connect_s,setup_s,error
,argos,88.15,13.530,22,25,29.9,177,,95,0,0,0.5,31.5,1082.8,,,,,,,
,gemini,88.15,3.630,86,0,117.1,,0.677,102,0,61,0.1,,78.4,4.00,5.67,0.0076,0.31,0.354,0.489,
